,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
2023,-0.18600000000000003,0.9233333333333333,-0.20233333333333334,1.4145999999999999,1.9634,6.926599999999999,7
2024,-0.16299999999999998,0.957,-0.214,-4.2318,-1.6095999999999997,11.4756,7
2025,-0.109,0.9666666666666667,-0.15666666666666668,-14.243799999999998,-1.8780000000000001,20.8536,7
2026,-0.018500000000000003,0.965,-0.10350000000000001,-23.6952,22.5854,24.061,7
2027,0.017333333333333336,0.8053333333333333,-0.12266666666666666,2.1466000000000003,-7.3658,2.3902,7
2028,0.014499999999999999,1.018,-0.0535,7.3172,-10.463399999999998,-2.683,7
2029,0.017,0.9703333333333334,-0.05666666666666667,4.5246,-4.7316,-0.048799999999999996,7
2030,0.0155,0.963,-0.092,5.6096,-1.7073999999999998,-2.634,7
2031,-0.012333333333333333,0.9566666666666667,-0.11666666666666668,3.2560000000000002,-2.6342,-0.2071999999999999,7
2032,-0.0225,0.9075,-0.14150000000000001,7.097800000000001,-3.622,-9.0244,7
2033,-0.05266666666666667,0.8326666666666666,-0.17666666666666667,14.3412,-9.0488,-22.3782,7
2034,-0.11,0.8685,-0.20750000000000002,16.7194,-4.5368,-10.5244,7
2035,-0.13466666666666666,0.895,-0.19933333333333333,-4.878,-10.866,14.707400000000002,7
2036,-0.122,1.1145,-0.191,-14.3048,-16.817,10.5732,7
2037,-0.16566666666666666,1.2956666666666667,-0.11433333333333333,4.622,11.7682,-20.866,7
2038,-0.172,0.878,-0.1725,-6.4268,8.0124,-15.182999999999998,7
2039,-0.19399999999999998,0.9103333333333333,-0.17833333333333332,-2.4512,6.7562,-2.4023999999999996,7
2040,-0.1775,0.928,-0.1535,5.122,-3.5366,8.0,7
2041,-0.19000000000000003,0.955,-0.141,-2.244,1.8416000000000003,2.8414,7
2042,-0.17099999999999999,0.977,-0.147,-2.3777999999999997,-6.6096,15.8416,7
2043,-0.11466666666666665,0.9883333333333333,-0.11599999999999999,-23.695,8.4636,27.9026,7
2044,-0.0115,0.8105,-0.0905,-0.5122,8.5,18.061,7
2045,0.017666666666666667,0.9476666666666667,-0.07833333333333334,10.5366,-10.7194,-3.561,7
2046,0.002,0.933,-0.1125,3.0002,-3.9878,-0.35379999999999995,7
2047,-0.004,0.9743333333333334,-0.09800000000000002,3.0002,-4.3294,-2.6218,7
2048,-0.01,0.9635,-0.10350000000000001,2.378,-3.5851999999999995,-2.5732,7
2049,-0.024666666666666667,0.8809999999999999,-0.1426666666666667,13.219400000000002,-6.561,-12.7438,7
2050,-0.0785,0.847,-0.1905,15.365799999999998,-5.6952,-18.4756,7
2051,-0.124,0.8733333333333334,-0.229,16.1338,-11.4512,-8.378,7
2052,-0.17149999999999999,0.908,-0.21999999999999997,-11.0244,-17.1096,1.0732,7
2053,-0.17400000000000002,1.0926666666666667,-0.15333333333333335,-4.9636000000000005,-16.4026,21.9026,7
2054,-0.2195,1.4024999999999999,-0.109,-7.5244,18.6706,-22.6828,7
2055,-0.19200000000000003,0.8716666666666667,-0.15566666666666665,2.6098,8.706999999999999,-14.865799999999998,7
2056,-0.227,0.891,-0.16999999999999998,5.3902,4.0,-0.37799999999999995,7
