,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
7161,-0.061,-0.9774999999999999,-0.0625,3.122,-3.4878,1.5488,row
2864,0.0365,1.2575,0.012,-11.50925,-11.616,12.424,ohp
3658,0.1105,-0.681,0.195,-22.6342,2.6708,-2.4634,row
5303,0.148,-0.8713333333333333,0.13599999999999998,19.0734,-3.5976,1.8050000000000002,row
3296,-0.1765,0.9545,-0.358,8.3782,-3.9269999999999996,0.9512,bench
1598,0.18966666666666665,0.7733333333333334,0.926,0.6949999999999996,-6.5244,0.036599999999999966,squat
6516,-0.04566666666666667,1.153,-0.17033333333333334,-7.4024,-11.5486,15.0124,bench
300,-0.164,1.168,-0.16933333333333334,-12.2194,-2.2440000000000007,4.8292,bench
2917,-0.24466666666666667,0.7973333333333333,-0.25833333333333336,10.5244,1.2317999999999998,-26.268399999999996,ohp
2483,-0.045,0.869,-0.041,2.0732,-3.183,-8.7562,bench
7880,-0.010499999999999999,0.964,-0.094,3.2072000000000003,3.6098,-3.9875999999999996,bench
3316,-0.22399999999999998,0.9279999999999999,-0.355,-24.7074,10.7194,23.183,bench
8365,-0.0315,-1.139,-0.0915,7.3902,-0.24399999999999994,1.8903999999999996,row
1359,-0.22633333333333336,0.8876666666666666,-0.18699999999999997,-15.8416,-1.3538000000000001,-2.073,ohp
5235,0.011000000000000001,-1.2216666666666667,-0.10766666666666667,0.5609999999999999,3.6340000000000003,-4.7074,dead
7384,-0.027999999999999997,-0.991,-0.06833333333333334,3.061,-5.0851999999999995,0.3172,row
5688,0.151,-1.163,-0.1665,-1.3414000000000001,-1.2682000000000002,11.0486,dead
486,-0.25833333333333336,1.0223333333333333,0.009666666666666665,-47.1952,-16.7926,36.2074,ohp
2453,-0.0675,0.8365,-0.08399999999999999,18.3292,-4.7074,-13.866,bench
2673,0.0405,1.2614999999999998,0.376,18.756,-1.6221999999999999,-36.7928,bench
1152,-0.012666666666666668,1.1500000000000001,-0.11866666666666666,1.3048000000000002,-1.8168,1.8169999999999997,ohp
7537,0.06,0.8835,-0.10700000000000001,7.1828,-2.122,-5.2196,bench
7523,-0.054,1.202,-0.20700000000000002,11.6586,10.7438,-16.8048,bench
6328,0.085,0.9713333333333333,0.8233333333333333,1.9878,-3.3174,2.4024,squat
8740,-0.7755000000000001,0.62,0.064,10.073,-20.5978,8.8902,rest
6715,0.9823333333333334,-0.22866666666666668,-0.004333333333333334,2.878,2.573,0.30500000000000005,rest
4749,0.1125,-1.019,-0.0665,1.0732000000000004,-11.7196,0.3048,dead
665,-0.19333333333333333,1.049,-0.017666666666666667,30.2806,5.0854,-35.256,ohp
2189,-0.05033333333333334,-0.8756666666666666,0.313,-40.0856,6.8902,-11.5366,dead
8297,-0.0245,-0.9415,-0.0485,-0.46340000000000003,-1.1827999999999999,3.4756,row
642,-0.1585,0.8140000000000001,0.055,10.2804,-0.1583999999999998,36.9514,ohp
